application_number,ticker,sponsor_name,brand_name,approval_date,pct_change_day3,direction,volatility_30d,generic_name,is_priority_review,filing_found,filing_text,phase_num,enrollment,phase,primary_endpoint,trial_found,approval_year,approval_month,approval_quarter
NDA022427,ABBV,ABBVIE,ACUVAIL,2024-05-24,-2.19,0,1.2953,KETOROLAC TROMETHAMINE,0,True,"8-K filing found for Abbvie, filed on 2024-05-23",4,40,PHASE4,The incidence of CME was evaluated by retinal foveal thickness on optical coherence tomography (OCT),True,2024,5,2
NDA211675,ABBV,ABBVIE,RINVOQ,2024-04-26,-2.78,0,1.3995,UPADACITINIB,0,True,"8-K filing found for Abbvie, filed on 2024-04-26",3,642,PHASE3,Percentage of Participants With an American College of Rheumatology 20% (ACR20) Response at Week 12,True,2024,4,2
NDA022425,SNY,SANOFI AVENTIS US,MULTAQ,2023-10-23,2.0,1,0.9272,DRONEDARONE HYDROCHLORIDE,0,False,,0,48,,Peak Plasma Concentration (Cmax),True,2023,10,4
BLA761151,UCBJY,UCB INC,BIMZELX,2023-10-17,-8.9,0,1.3844,BIMEKIZUMAB-BKZX,0,True,"8-K filing found for Ucb Inc, filed on 2023-10-10",0,0,UNKNOWN,,False,2023,10,4
NDA212725,RHHBY,GENENTECH INC,ROZLYTREK,2023-08-31,-4.85,0,1.1774,ENTRECTINIB,0,True,"8-K filing found for Genentech Inc, filed on 2023-08-29",2,252,PHASE2,Confirmed Objective Response Rate (ORR) Assessed by Investigator According to Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1) or Response Assessment in Neuro-Oncology (RANO) Criteria for Primary Central Nervous System (CNS) Tumors,True,2023,8,3
NDA205879,JNJ,JANSSEN PHARMS,INVOKAMET XR,2023-07-05,-2.51,0,0.7019,CANAGLIFLOZIN,0,False,,4,3591,PHASE4,21 Day Organ Support (Respiratory or Vasopressor) Free Days,True,2023,7,3
NDA206333,ABBV,ABBVIE,KYBELLA,2022-10-05,-2.27,0,1.9402,DEOXYCHOLIC ACID,0,True,"8-K filing found for Abbvie, filed on 2022-10-05",3,55,PHASE3,Percentage of Participants With at Least a 1-Grade Reduction (Improvement) at 12 Weeks From Last Treatment Based on Both the Clinician-Reported Submental Fat Rating Scale (CR-SMFRS) and Patient-Reported Submental Fat Rating Scale (PR-SMFRS) Assessments,True,2022,10,4
BLA761149,RHHBY,GENENTECH,ENSPRYNG,2022-09-14,0.91,1,1.2304,SATRALIZUMAB,0,True,"8-K filing found for Genentech, filed on 2022-09-09",3,119,PHASE3,Number of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs),True,2022,9,3
NDA212018,JNJ,JANSSEN BIOTECH,BALVERSA,2022-04-27,-2.29,0,1.1464,ERDAFITINIB,0,True,"8-K filing found for Janssen Biotech, filed on 2022-05-04",2,35,PHASE2,Objective Response Rate (ORR),True,2022,4,2
NDA212728,PFE,PFIZER,NURTEC ODT,2022-03-31,-2.86,0,1.9711,RIMEGEPANT SULFATE,1,True,"8-K filing found for Pfizer, filed on 2022-03-29",4,441,PHASE4,Number of Participants With On-Treatment Adverse Events (AEs) (Frequency >=5%) According to Intensity,True,2022,3,1
NDA211349,ALPMY,ASTELLAS,XOSPATA,2022-01-12,0.61,1,1.1202,GILTERITINIB FUMARATE,0,True,"8-K filing found for Astellas, filed on 2022-01-13",0,0,UNKNOWN,,False,2022,1,1
BLA761103,PFE,PFIZER INC,RUXIENCE,2021-11-15,2.29,1,2.5433,RITUXIMAB-PVVR,0,True,"8-K filing found for Pfizer Inc, filed on 2021-11-19",2,66,PHASE2,Number of Participants Who Achieved a Complete Response,True,2021,11,4
NDA213895,HIK,HIKMA,VANCOMYCIN,2021-08-26,0.0,0,0.0,VANCOMYCIN,1,False,,4,1294,PHASE4,The Incidence of CDI in Inpatients Receiving Vancomycin Prophylaxis vs. Placebo Who Are on High-risk Antibiotics and Are Colonized With Toxigenic C. Difficile.,True,2021,8,3
BLA761109,LLY,ELI LILLY AND CO,LYUMJEV,2021-08-13,3.51,1,1.2482,INSULIN LISPRO-AABC,0,False,,4,150,PHASE4,Percentage of Participants with at least 1 Episode of Hypoglycemia,True,2021,8,3
NDA215110,ABBV,ABBVIE,MAVYRET,2021-06-10,1.23,1,0.9244,GLECAPREVIR,1,True,"8-K filing found for Abbvie, filed on 2021-06-09",3,100,PHASE3,Percentage of Participants With Sustained Virologic Response 12 Weeks Post-treatment (SVR12),True,2021,6,2
NDA020776,PFE,PFIZER,DAYPRO ALTA,2021-04-28,0.52,1,1.0907,OXAPROZIN POTASSIUM,0,True,"8-K filing found for Pfizer, filed on 2021-05-04",1,12,PHASE1,Pharmacokinetics (Cmax: Maximum plasma concentration),True,2021,4,2
NDA019201,NVS,NOVARTIS,VOLTAREN,2021-04-28,-1.62,0,0.8008,DICLOFENAC SODIUM,0,True,"8-K filing found for Novartis, filed on 2021-04-29",3,94,PHASE3,Pain score using visual analog scale(VAS) of each topical NSAIDs pre-treated eyes.,True,2021,4,2
BLA761105,ABBV,ABBVIE INC,SKYRIZI,2021-04-26,0.49,1,1.1393,RISANKIZUMAB-RZAA,0,True,"8-K filing found for Abbvie Inc, filed on 2021-04-30",4,24,PHASE4,Determination of regulatory immune cell changes induced by risankizumab,True,2021,4,2
BLA761099,PFE,PFIZER INC,ZIRABEV,2021-02-09,-1.12,0,1.0363,BEVACIZUMAB-BVZR,0,True,"8-K filing found for Pfizer Inc, filed on 2021-02-02",3,1501,PHASE3,Overall Survival,True,2021,2,1
NDA208944,SUPN,SUPERNUS PHARMS,GOCOVRI,2021-02-01,0.37,1,2.2189,AMANTADINE HYDROCHLORIDE,0,False,,4,12,PHASE4,"Changes in the Metabolite Ratios of N-acetylaspartate (NAA) to Creatine (Cr), Myo-inositol (mI) to Cr, Choline (Cho) to Cr, NAA to Cho, and NAA to mI, on Cholinesterase Monotherapy vs Combination of Memantine and Cholinesterase Inhibitor",True,2021,2,1
NDA210656,PFE,PFIZER,DAURISMO,2020-03-19,-11.96,0,3.956,GLASDEGIB MALEATE,0,True,"8-K filing found for Pfizer, filed on 2020-03-17",1,50,PHASE1,Number of Participants With a Response,True,2020,3,1
BLA125117,BMRN,BIOMARIN,NAGLAZYME,2019-12-17,1.78,1,1.5591,GALSULFASE,0,True,"8-K filing found for Biomarin, filed on 2019-12-19",4,4,PHASE4,Change in Height,True,2019,12,4
NDA212726,RHHBY,GENENTECH INC,ROZLYTREK,2019-08-15,1.33,1,1.2445,ENTRECTINIB,1,True,"8-K filing found for Genentech Inc, filed on 2019-08-14",2,252,PHASE2,Confirmed Objective Response Rate (ORR) Assessed by Investigator According to Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1) or Response Assessment in Neuro-Oncology (RANO) Criteria for Primary Central Nervous System (CNS) Tumors,True,2019,8,3
NDA022044,MRK,MSD SUB MERCK,JANUMET,2019-08-12,-2.48,0,1.3749,METFORMIN HYDROCHLORIDE,0,False,,4,76,PHASE4,Cardiac global longitudinal strain (GLS),True,2019,8,3
NDA022426,TAK,TAKEDA PHARMS USA,OSENI,2017-12-21,0.88,1,1.0234,ALOGLIPTIN BENZOATE,0,False,,1,24,PHASE1,AUClast (Area under the plasma concentration-time curve),True,2017,12,4
NDA208624,ABBV,ABBVIE,VIEKIRA XR,2017-11-09,-0.62,0,1.5599,DASABUVIR SODIUM,0,True,"8-K filing found for Abbvie, filed on 2017-11-07",0,0,UNKNOWN,,False,2017,11,4
NDA208215,GILD,GILEAD SCIENCES INC,DESCOVY,2017-09-28,-0.41,0,1.7223,EMTRICITABINE,1,True,"8-K filing found for Gilead Sciences Inc, filed on 2017-09-28",3,269,PHASE3,number (%) of patients with fully suppressed HIV RNA < 50 cps/ml at week 48,True,2017,9,3
NDA205060,AZN,ASTRAZENECA,EPANOVA,2017-03-09,2.24,1,0.9107,OMEGA-3-CARBOXYLIC ACIDS,0,True,"8-K filing found for Astrazeneca, filed on 2017-03-02",3,18,PHASE3,Percent Change From Baseline in Low-Density Lipoprotein Cholesterol (LDL-C) at Week 12: Intent-to-Treat (ITT) Analysis,True,2017,3,1
NDA202107,CORT,CORCEPT THERAP,KORLYM,2016-10-25,-1.28,0,2.2213,MIFEPRISTONE,0,False,,4,536,PHASE4,Acceptability: Satisfaction With Mail-Order Dispensing of Medication Abortion,True,2016,10,4
NDA203952,ABBV,ABBVIE,DUOPA,2016-09-15,-0.68,0,0.738,CARBIDOPA,0,False,,2,131,PHASE2,Cocaine Treatment Outcome,True,2016,9,3
NDA205065,BMRN,BIOMARIN PHARM,KUVAN,2016-08-09,-7.08,0,2.8744,SAPROPTERIN DIHYDROCHLORIDE,0,False,,2,41,PHASE2,Clinical Global Impressions Scale,True,2016,8,3
BLA125409,RHHBY,GENENTECH,PERJETA,2016-03-22,-0.86,0,1.0953,PERTUZUMAB,0,True,"8-K filing found for Genentech, filed on 2016-03-29",2,51,PHASE2,Change From Baseline in Mean Duration of the QTc Interval,True,2016,3,1
NDA202123,GILD,GILEAD SCIENCES INC,COMPLERA,2016-03-09,1.12,1,1.7882,EMTRICITABINE,1,True,"8-K filing found for Gilead Sciences Inc, filed on 2016-03-11",3,269,PHASE3,number (%) of patients with fully suppressed HIV RNA < 50 cps/ml at week 48,True,2016,3,1
NDA202813,TEVA,TEVA BRANDED PHARM,QNASL,2016-02-29,-1.21,0,2.0611,BECLOMETHASONE DIPROPIONATE,0,False,,4,34,PHASE4,High resolution Cat Scans,True,2016,2,1
NDA021323,ABBV,ABBVIE,LEXAPRO,2016-01-28,-4.76,0,2.827,ESCITALOPRAM OXALATE,0,True,"8-K filing found for Abbvie, filed on 2016-01-29",4,95,PHASE4,Ham-D-17,True,2016,1,1
NDA021332,AZN,ASTRAZENECA AB,SYMLIN,2015-03-20,0.78,1,1.3812,PRAMLINTIDE ACETATE,0,False,,3,30,PHASE3,Area under the curve for glucose,True,2015,3,1
BLA125085,RHHBY,GENENTECH,AVASTIN,2014-08-14,1.34,1,0.7468,BEVACIZUMAB,1,False,,0,0,,,False,2014,8,3
NDA021035,UCBJY,UCB INC,KEPPRA,2014-03-07,-1.92,0,1.5776,LEVETIRACETAM,0,False,,0,0,,,False,2014,3,1
BLA125156,RHHBY,GENENTECH,LUCENTIS,2014-02-27,-3.6,0,1.4223,RANIBIZUMAB,0,False,,0,0,,,False,2014,2,1
BLA125104,BIIB,BIOGEN IDEC,TYSABRI,2013-12-15,1.93,1,3.1244,NATALIZUMAB,0,False,,0,0,,,False,2013,12,4
BLA125418,SNY,SANOFI AVENTIS US,ZALTRAP,2013-10-25,0.7,1,1.153,ZIV-AFLIBERCEPT,0,False,,0,0,,,False,2013,10,4
NDA020164,SNY,SANOFI AVENTIS US,LOVENOX (PRESERVATIVE FREE),2013-09-27,1.93,1,1.4532,ENOXAPARIN SODIUM,1,False,,0,0,,,False,2013,9,3
NDA022037,TAK,TAKEDA PHARMS USA,INTUNIV,2013-08-23,0.87,1,1.2335,GUANFACINE HYDROCHLORIDE,0,False,,0,0,,,False,2013,8,3
BLA125151,SHPG,SHIRE,ELAPRASE,2013-06-24,0.44,1,1.1659,IDURSULFASE,1,False,,0,0,,,False,2013,6,2
NDA019813,JNJ,JANSSEN PHARMS,DURAGESIC-100,2013-04-15,1.4,1,0.5747,FENTANYL,1,False,,0,0,,,False,2013,4,2
NDA022433,AZN,ASTRAZENECA,BRILINTA,2013-03-29,-0.14,0,1.1355,TICAGRELOR,0,False,,0,0,,,False,2013,3,1
NDA022030,PFE,PFIZER,TOVIAZ,2013-01-23,1.2,1,1.0407,FESOTERODINE FUMARATE,0,False,,0,0,,,False,2013,1,1
NDA203585,TEVA,TEVA PHARMS INTL,SYNRIBO,2012-10-26,1.4,1,1.1102,OMACETAXINE MEPESUCCINATE,0,False,,0,0,,,False,2012,10,4
BLA125118,BMY,BRISTOL MYERS SQUIBB,ORENCIA,2011-08-18,-1.61,0,1.8638,ABATACEPT,0,False,,0,0,,,False,2011,8,3
NDA022033,JAZZ,JAZZ PHARMS,LUVOX CR,2011-05-09,2.46,1,2.1757,FLUVOXAMINE MALEATE,0,False,,0,0,,,False,2011,5,2
NDA022081,GILD,GILEAD,LETAIRIS,2011-03-03,5.2,1,1.4458,AMBRISENTAN,1,False,,0,0,,,False,2011,3,1
NDA020552,PFE,PFIZER,COVERA-HS,2010-04-13,-1.74,0,0.9656,VERAPAMIL HYDROCHLORIDE,1,False,,0,0,,,False,2010,4,2
BLA125276,RHHBY,GENENTECH,ACTEMRA,2010-01-08,1.07,1,1.285,TOCILIZUMAB,0,False,,0,0,,,False,2010,1,1
